application_id,company_canonical,discovery_source_coded,discovery_source_recalled,discovery_source_resolved,basis,conflict,root_venue,interviewed
spider-cloud|growth-lead|c1,Spider.cloud,unknown,,unknown,none,no,unknown,no
stackai|sales-engineer|c1,StackAI,unknown,,unknown,none,no,unknown,no
stedi|unspecified|c1,Stedi,unknown,,unknown,none,no,unknown,no
stellar-substitute|unspecified|c1,Stellar Substitute,unknown,,unknown,none,no,unknown,no
sur|ai-revenue-engineer|c1,Sur,unknown,,unknown,none,no,unknown,no
switchyards|digital-product-builder|c1,Switchyards,unknown,,unknown,none,no,unknown,no
switchyards|launch-manager|c1,Switchyards,unknown,,unknown,none,no,unknown,no
syncro|gtm-operations-manager|c1,Syncro,unknown,,unknown,none,no,unknown,no
talentpluto|go-to-market-engineer|c1,Talentpluto,unknown,,unknown,none,no,unknown,no
tapcheck|unspecified|c1,Tapcheck,unknown,,unknown,none,no,unknown,no
tekion|senior-manager-inside-sales|c1,Tekion,unknown,,unknown,none,no,unknown,no
teleport|gtm-engineer|c1,Teleport,unknown,,unknown,none,no,unknown,no
telnyx|unspecified|c1,Telnyx,unknown,,unknown,none,no,unknown,no
testgorilla|go-to-market-engineer|c1,TestGorilla,unknown,,unknown,none,no,unknown,no
the-hog|gtm-engineer|c1,The Hog,unknown,,unknown,none,no,unknown,yes
thomson-reuters|ae-tax-or-risk|c1,Thomson Reuters,unknown,,unknown,none,no,unknown,no
tiger-data|gtm-ai-engineer|c1,Tiger Data,unknown,,unknown,none,no,unknown,no
toast|gtm-engineer-sales-workflow-automation|c1,Toast,unknown,,unknown,none,no,unknown,no
together-ai|unspecified|c1,Together AI,unknown,,unknown,none,no,unknown,no
trace3|sdr|c1,Trace3,unknown,,unknown,none,no,unknown,no
tractian|sales-engineer-automation|c1,TRACTIAN,unknown,,unknown,none,no,unknown,no
tractian|senior-gtm-engineer-hubspot|c1,TRACTIAN,unknown,,unknown,none,no,unknown,no
trase|gtm-engineer-healthcare|c1,Trase,unknown,,unknown,none,no,unknown,no
tripleseat|gtm-engineer|c1,Tripleseat,unknown,,unknown,none,no,unknown,no
uncapped|gtm-engineer|c1,Uncapped,unknown,,unknown,none,no,unknown,no
unframe|gtm-engineer|c1,Unframe,unknown,,unknown,none,no,unknown,no
unstructured|gtm-engineer-operations|c1,Unstructured,unknown,,unknown,none,no,unknown,no
